year,tmax_jan,tmin_jan,rain_jan,sun_jan,frost_jan,tmax_feb,tmin_feb,rain_feb,sun_feb,frost_feb,tmax_mar,tmin_mar,rain_mar,sun_mar,frost_mar,tmax_apr,tmin_apr,rain_apr,sun_apr,frost_apr,tmax_may,tmin_may,rain_may,sun_may,frost_may,tmax_jun,tmin_jun,rain_jun,sun_jun,frost_jun,tmax_jul,tmin_jul,rain_jul,sun_jul,frost_jul,tmax_aug,tmin_aug,rain_aug,sun_aug,frost_aug,tmax_sep,tmin_sep,rain_sep,sun_sep,frost_sep,tmax_oct,tmin_oct,rain_oct,sun_oct,frost_oct,tmax_nov,tmin_nov,rain_nov,sun_nov,frost_nov,tmax_dec,tmin_dec,rain_dec,sun_dec,frost_dec
2004,2.2397895480380097,-5.030101401735411,44.412465932452925,34.77365877948559,18.783095249546342,4.197131938675472,-3.423594957188504,32.28308985490657,67.62479232358696,14.554255233888417,9.251957341617764,1.203895616343849,45.63020254952475,113.40177465419498,11.90777448189719,12.257336995990299,5.857867286407149,50.802585988171685,169.18823255085445,3.812737341032569,14.604665733448035,9.242315075495299,58.442917717359315,241.213182823524,0.0,21.29585676240495,9.5174976250156,74.00417514333,261.3210779970493,1.6858243151445698,24.78088636401253,12.608017957398967,44.486576744360974,196.8422328521818,0.7013257104525333,23.57316993689869,14.469685021682622,80.7424085548379,186.4943691874282,0.0,18.67737248584325,10.278459535723794,37.92704749035679,162.28472966624628,0.0,14.014746235535165,6.133770368023576,51.82999894701456,127.57353205663105,4.965343402211903,6.204742736240844,1.3235775166271486,25.917698857499833,48.2323603434915,10.036475717296888,2.8940600976058537,-2.604301482139407,58.93308239965822,39.76428546172644,18.598683071778066
2005,0.5837340946555714,-2.7588829205997194,35.389221148719955,53.88116036038036,17.29656387998996,3.1617644630505297,-3.20398036990428,25.800833712360877,80.05457685921996,13.471462383234723,8.687921735655179,1.5208648089409578,45.29123381308778,110.1165985102788,10.98033277598687,15.019320360209061,3.681244028300864,35.7287327077862,73.06485598004473,2.3092416926452994,17.70516540572724,8.771611834350843,28.388604429963927,181.24626116225048,0.0,20.06860723483022,11.77142468621716,52.95473376344508,280.4858957657125,0.0,23.635575195250155,13.965325947123171,52.22092993000364,269.8817545745917,0.7243724134083868,23.54418009083428,12.307042403507507,111.3127392681166,220.026121539187,0.22571552391214464,19.30113486722492,10.244594439216318,24.502594763709883,145.9232694832465,0.0,12.6998885611325,6.517512175492833,56.58677006626261,114.54403125133561,3.959952887246613,4.426147765068054,0.6859514263260804,57.692860190945474,46.071049921369024,9.796026396860327,2.291657020463477,-3.120501782588293,38.65136544252399,31.52945617888247,19.43625269372526
2006,2.823054396833941,-1.777339408267779,23.353149960074873,53.27180875037739,20.03218433606736,6.759022576188916,-2.5633313660327786,16.559383668033718,83.4843165926753,16.7952676428147,5.771827380499666,0.6742336176436449,37.427895321510256,139.37002937991514,6.618759253178314,16.223304212666942,2.93048389430964,55.22560303316902,126.1838344785632,4.818008352881078,19.6175782461329,7.493462323687297,38.39291142336983,202.94672285631694,0.0,20.119842990343464,12.191590604061494,40.340393764222256,253.76530226674024,0.0,24.23421532971219,12.805232160357043,64.69200974710063,251.55776402941717,0.0,23.31310588457445,12.260806898167132,77.65812340025548,167.92758634485818,0.0,16.56495262136508,11.432698435063685,29.343446168186865,107.57778774288602,0.0,12.581317127922219,7.258547201488483,34.421209293096375,109.59536617117267,0.31383029291215436,7.31197523767251,-0.4785554936630936,36.23685941400567,44.300967642628,10.087407245749644,4.451613059207946,-3.60307514095775,29.658351218997275,36.016342281209056,19.03092856620374
2007,4.626062792642194,-3.5662700764232182,22.102255901069256,46.259723607033955,18.808034423168063,2.613369703650279,-0.8101875107616567,35.56845129078411,62.355182425098505,16.971932696987515,8.871484517818637,0.6981147414005493,30.737634059741985,85.79887450253315,10.53547473749161,13.70200512211781,3.533734119519469,23.63590919710842,174.75026591629907,3.428092808223883,17.86078734716526,6.475668651242689,56.697371245871715,228.68184919279108,1.2003313226834713,22.823932338445402,11.74896134575341,66.87741515388237,161.97248060618486,0.0,22.35142630736465,14.64305449059164,64.72673236822486,261.9019429010113,0.0,23.862196176160975,12.816049099650671,54.04376137913675,210.77452404231008,2.2232451850625723,17.952129865501046,5.834493015253946,66.60842588099986,132.18759967563238,1.6837495443338795,14.477869950406237,5.239975842360734,44.56413747573226,87.036585336275,3.1288457315891844,7.891060307178075,0.570800728396167,35.43650683465983,52.34445139813492,11.984910564481929,3.4952677401908367,-2.516791813530763,43.02338704378491,41.09092372177824,17.037731496252817
2008,2.0496514043412026,-3.7587129338818266,37.54820158267309,46.44244531577994,21.550817302281676,0.8131370728841567,-1.8334133010855571,21.97569105839866,76.22723505386828,18.859452483951806,10.493392517999737,0.689550536190713,43.762238806570195,103.01908914496775,11.898254871302894,16.779206645021482,2.5528933642683698,37.0713262329138,160.58602800691608,3.707337294681117,19.609106792719768,7.676577313743913,49.94886280192803,198.72718955499812,0.0,22.28964119234313,11.527364043981484,84.8791223556729,215.64843971647778,0.0,23.368987708890135,13.648470814407078,63.35167454265503,229.21659917723923,0.0,26.804713371121757,14.57358561353779,43.23127874184081,232.9527030381587,0.4560935847221806,19.520339287934508,7.968374412786983,66.89066355154326,176.21831267622883,0.0,15.57523696238898,5.4539460755771385,32.82651311148593,89.6189002079002,4.417230467791104,7.59984328215326,0.45102441567793194,30.266826540028582,47.09357672289801,9.231240931539425,4.29167046822894,-1.5455156082994281,36.41872631138359,26.29807551993165,15.999001099725364
2009,3.8050832632456753,-4.193772568249164,41.333622386447146,33.098686646835844,20.595589753494508,6.879289608356529,-4.093680677202503,34.947275422032504,72.8608502977034,18.376825919231212,8.803139520996506,0.8273899304783179,36.910728345569424,130.31117074147366,10.741330942464531,14.78867314207674,4.4723907169814305,47.26390120995842,182.64108734585372,2.302065199058077,16.669632736719894,8.490350673008733,34.82534370240639,242.22979104626958,0.0,23.51742391508947,13.550979949530548,58.87819184655234,216.17198724652386,1.5202394238041683,26.095857541684538,15.041929801735293,68.83310757666531,199.11539037470328,0.01157048588129108,23.064556210320355,12.78777164411445,44.371685618394494,232.73669853178689,1.046235231881911,19.7085499558765,9.03069185610713,42.348020604554804,179.52574207923675,1.7811262240344197,13.718575281866666,4.472020147472805,25.877820169724654,109.53002623034435,2.0429070938754066,7.7139008085641825,1.035965355156287,49.28505231086333,51.55561433359153,11.497079592927632,0.14914212155856177,-2.2724602949898394,74.92663979910228,21.85840468838108,19.263978325927745
2010,3.127005611153413,-1.4571587347809176,37.91689845369246,53.03489246360694,21.825358706208167,4.295170139052166,-3.896814254043379,38.217040806736925,59.77891154950571,16.79393514415338,10.42036236624379,1.8104812477888383,31.346430781347756,131.28569285472804,9.686195079171792,13.791428648095884,5.2627026751085335,49.10557450238415,187.06495282860257,3.7872482712871927,20.270890474969264,7.972126169554655,52.52342911240096,217.85034879609705,0.0,23.088887216979064,9.716063287309868,73.96520737541564,188.30011847112667,0.0,20.238728966295085,12.812699857909964,68.68918501112249,247.2933927657644,1.966314014548019,21.764679858255853,13.681792984495875,51.64738343519718,202.78415198011533,0.0,18.82572799377046,7.93210673174048,48.76942565538884,168.25076350476337,0.0,13.470811865440016,4.745185294375957,53.15106133382304,112.7738778643787,5.263057671638034,4.676852497826298,2.7410359204333927,41.95198492586288,44.56119912653549,10.733805240338055,5.8490499092412875,-0.07446305039250123,56.09994575746418,29.79407539944039,18.4647951801338
2011,3.01363386411998,-1.5095800528276462,38.021497851761495,45.10510953535718,19.019736960603364,5.002130980955575,-2.7584925869846213,31.6738072988003,65.06972486471913,17.070859420598627,7.379380492534509,0.6930670001905372,28.67296014560969,132.58791397970836,14.77118012775679,15.76855186318221,2.1560929833996614,31.227384483065713,128.9527753550046,4.020355092837964,16.338664675919087,6.558347233154657,66.44385185508527,242.7684385558942,0.0,21.328839754232376,11.556184705909285,67.06487864419249,166.30348249212335,0.390014523245762,23.58822105376315,14.438401485935096,61.09649443330476,231.85648652393493,0.0,24.99966669047727,11.578316694788342,72.02855930422155,242.17560671522682,2.7533409718601747,21.87568441643571,8.35665379957943,52.79152126682584,168.16868784716183,0.8850672830240357,14.630217701081833,6.008732336311591,33.45693510678518,108.26199121652925,4.270180051949795,7.692408089846152,0.18437579378802704,29.468580679000915,46.93068787443485,9.69277974768345,3.735909842605785,-3.172513403965077,55.73190376043493,25.24778729758258,18.79305252940585
2012,3.259800141430032,-2.227081615040082,3.196148404904001,35.89239048019105,19.470955973889467,4.25242305670729,-2.597669682502352,22.676280600264285,83.47196186108052,17.486044249384104,8.40786762176523,-0.6850858364067538,35.71623954413125,142.65660793382406,12.052769741135949,14.451928850242831,3.579538873573848,36.26646661070219,164.05374234682137,2.54071749209771,21.293521463675717,8.764991122711688,81.75700094748518,231.0461791284532,0.0,20.581244978754572,10.604005073390763,39.24702686851762,289.22874231133926,0.0,25.679084912149232,14.154362386980639,86.07784508305355,304.07970285997993,0.0,23.727206903704808,12.697376350372165,73.4737475176821,210.5004711114897,0.0,18.426093906847555,8.070780619291474,48.63788122536535,127.52523937646043,0.0,13.672859294629896,6.895155901164099,47.94173140761765,104.71826651083359,3.6045027485792747,4.529326445558283,0.6724318026510749,60.136824511501835,58.88089060696967,8.932640993445386,6.131468387621363,-2.861469070176276,33.88690748063371,43.06356723287873,19.961610080069637
2013,1.6171607460952617,-3.058906589500775,35.899600222099316,48.402935246955145,22.351087877700838,4.798231813544428,-2.6366852939067655,17.883299916806322,78.16861288514278,15.165579276576336,8.719300397256557,1.649882772598715,43.51786733155739,135.0968389558459,13.048381852773588,14.718789192075613,3.862585549306125,35.96673777956456,182.30572452167343,4.802854661507366,19.199992738292952,8.61657694695687,39.72768457460729,205.10064714259846,0.3457478415355094,24.88526947385131,11.634789012955554,57.57475295885706,212.73261256055832,1.116248263120408,24.354108020986185,13.764857182654719,74.97627909381757,178.87942708239854,0.709177534082512,24.69843572101615,13.456001441726565,44.93249901902473,238.6438855790595,0.0,22.482411500052134,11.102919545469689,36.791187411890014,119.19258161481727,1.0458636668637504,12.270046449588087,6.8770090276934415,46.35834253128517,82.10565838942574,4.173096366290247,7.205876377841155,1.9945339487129565,58.28855919758573,49.02558378453408,11.137032597074692,2.602416994486777,-2.6885659139361326,42.05500856541245,31.742997637320844,18.85179224750777
